NS Small Business,Type of Business,Received Small Business Impact Grant,Received Small Business Reopening and Support Grant,num,Impact Grant,Reopening and Support Grant
The Style Merchant,Personal care service,yes,yes,7,1,1
The Submarine,Restaurant with onsite dining,yes,yes,4,1,1
The Sugar Dish Day Spa,Personal care service,no,yes,7,0,1
The Suitor Clothing Company,Small retail,no,yes,2,0,1
The Summit Skin Care & Hair Removal,Personal care service,yes,yes,7,1,1
The Sun Hut Inc.,Personal care service,yes,yes,7,1,1
The Tea Brewery,Small retail,no,yes,2,0,1
The Ten Spot,Personal care service,yes,yes,7,1,1
The Ten Spot,Personal care service,yes,yes,7,1,1
The Thistle Bar and Grill,Restaurant with onsite dining,yes,yes,4,1,1
The Townhouse Brewpub & Eatery,Restaurant with onsite dining,yes,yes,4,1,1
The Trainyard General Store,Small retail,no,yes,2,0,1
The Truro Club,Drinking establishment,yes,yes,1,1,1
The Truth & Life Bookstore,Small retail,no,yes,2,0,1
The Tuna Blue Inn & Restaurant,Restaurant with onsite dining,no,yes,4,0,1
The Turtleback Tap & Grill,Restaurant with onsite dining,yes,yes,4,1,1
The Tweed Suit Barbershop,Personal care service,yes,yes,7,1,1
The Union Street Caf̩,Restaurant with onsite dining,yes,no,4,1,0
The UPS Store,Small retail,no,yes,2,0,1
The Vanity Room Salon and Boutique,Personal care service,yes,yes,7,1,1
The Village Coffeehouse,Restaurant with onsite dining,yes,yes,4,1,1
The Village Grill of Inverness,Restaurant with onsite dining,no,yes,4,0,1
The Ville Caffeine Bar,Restaurant with onsite dining,yes,yes,4,1,1
The Waffle Bus Stop,Restaurant with onsite dining,yes,yes,4,1,1
The Warehouse Multi-Sport Centre,Fitness establishment,yes,yes,0,1,1
The Wheelhouse Seafood and Pasta,Restaurant with onsite dining,no,yes,4,0,1
The Wooden Monkey Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
The Wooden Monkey Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
The Yellow Sink Hair Salon,Personal care service,yes,yes,7,1,1
The Yoga Barn,Fitness establishment,yes,yes,0,1,1
Theatre Arts Guild,Charity,yes,yes,7,1,1
Theatre Baddeck Society,"Live, performing arts for audience",yes,yes,3,1,1
Therapeutic Approach Yoga Studio,Fitness establishment,yes,yes,0,1,1
THR!VE Children's Choir,"Live, performing arts for audience",yes,yes,3,1,1
Three Doors Down Diner,Restaurant with onsite dining,yes,yes,4,1,1
Three Treasures Therapeutic,Self-regulated health professional,yes,yes,6,1,1
Thrive Hair Studio,Personal care service,yes,yes,7,1,1
Thrown Together Pottery & Art,Small retail,no,yes,2,0,1
Thumpers Salon,Personal care service,yes,yes,7,1,1
Tiaraii Hair Salon,Personal care service,yes,yes,7,1,1
Tidal Waves DJ Services,"Live, performing arts for audience",no,yes,3,0,1
Tilted Tap Bar and Grill,Restaurant with onsite dining,no,yes,4,0,1
Tim Hortons,Restaurant with onsite dining,yes,no,4,1,0
Tim Hortons,Restaurant with onsite dining,yes,no,4,1,0
Tim Hortons,Restaurant with onsite dining,yes,yes,4,1,1
Tim Hortons,Restaurant with onsite dining,no,yes,4,0,1
Tim Hortons,Restaurant with onsite dining,yes,no,4,1,0
Tim Hortons,Restaurant with onsite dining,yes,yes,4,1,1
Tim Hortons,Restaurant with onsite dining,no,yes,4,0,1
Tim Hortons,Restaurant with onsite dining,yes,yes,4,1,1
Tim Hortons,Restaurant with onsite dining,yes,yes,4,1,1
Tim Hortons,Restaurant with onsite dining,yes,yes,4,1,1
Tim Hortons,Restaurant with onsite dining,yes,yes,4,1,1
Tim Hortons,Restaurant with onsite dining,yes,yes,4,1,1
Tim Hortons,Restaurant with onsite dining,yes,yes,4,1,1
Tim Hortons,Restaurant with onsite dining,yes,yes,4,1,1
Tim Hortons,Restaurant with onsite dining,yes,yes,4,1,1
Tim Hortons,Restaurant with onsite dining,yes,yes,4,1,1
Tim Hortons,Restaurant with onsite dining,yes,yes,4,1,1
Tim Hortons,Restaurant with onsite dining,no,yes,4,0,1
Tim Hortons,Restaurant with onsite dining,yes,yes,4,1,1
Tim Hortons,Restaurant with onsite dining,yes,yes,4,1,1
Tim Hortons,Restaurant with onsite dining,yes,yes,4,1,1
Tim Hortons,Restaurant with onsite dining,yes,yes,4,1,1
Tim Hortons,Restaurant with onsite dining,yes,yes,4,1,1
Tim Hortons,Restaurant with onsite dining,yes,yes,4,1,1
Tim Hortons,Restaurant with onsite dining,yes,yes,4,1,1
Tim Hortons,Restaurant with onsite dining,yes,yes,4,1,1
Tim Hortons,Restaurant with onsite dining,yes,yes,4,1,1
Tim Hortons,Restaurant with onsite dining,yes,yes,4,1,1
Tim Hortons,Restaurant with onsite dining,yes,yes,4,1,1
Tim Hortons,Restaurant with onsite dining,yes,yes,4,1,1
Tim Hortons,Restaurant with onsite dining,yes,yes,4,1,1
Tim Hortons,Restaurant with onsite dining,yes,yes,4,1,1
Tim Hortons,Restaurant with onsite dining,yes,yes,4,1,1
Timber Lounge,Drinking establishment,yes,yes,1,1,1
Timberlea Beverage Room,Restaurant with onsite dining,yes,yes,4,1,1
Timeless & Twist,Small retail,no,yes,2,0,1
Tipperary Bakery & Cafe,Restaurant with onsite dining,yes,yes,4,1,1
Tipping Point Distillers,Drinking establishment,yes,no,1,1,0
Tire Shack Amherst,Small retail,no,yes,2,0,1
Tiszta Viz Organic Skin Care & Spa,Personal care service,yes,yes,7,1,1
Titans Fitness Academy Club,Fitness establishment,yes,yes,0,1,1
TLC Hair Design,Personal care service,no,yes,7,0,1
TM Hair Co.,Personal care service,yes,yes,7,1,1
Together Hair and Esthetics,Personal care service,yes,yes,7,1,1
TOGO Fresh Food,Restaurant with onsite dining,yes,no,4,1,0
Tokyoroll,Restaurant with onsite dining,yes,yes,4,1,1
Tommy Guns Speakeasy Lounge,Drinking establishment,yes,yes,1,1,1
Tom's Family Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Tom's Pizza,Restaurant with onsite dining,yes,yes,4,1,1
Tony's Barbering Inc,Personal care service,yes,yes,7,1,1
Tony's Nailz,Personal care service,yes,yes,7,1,1
Toomey Counselling and Consulting,Self-regulated health professional,yes,yes,6,1,1
Toothy Moose,Drinking establishment,yes,yes,1,1,1
Top Tea Caf̩,Restaurant with onsite dining,yes,yes,4,1,1
Topcuts,Personal care service,yes,yes,7,1,1
Torpedo Sauna/Menz Bar/Mollyz Diner,Drinking establishment,yes,yes,1,1,1
Total Kneads Health & Wellness,Self-regulated health professional,yes,yes,6,1,1
Total Touch Skin Care Clinic,Personal care service,no,yes,7,0,1
Totally Yours Salon,Personal care service,yes,yes,7,1,1
Touch of Gold Lab,Self-regulated health professional,yes,yes,6,1,1
Touch of Radiance,Personal care service,yes,yes,7,1,1
Tower Road Fire Department,Drinking establishment,yes,yes,1,1,1
Tracie's Spa Life,Personal care service,yes,yes,7,1,1
Trailsman Lodge & Restaurant,Small retail,no,yes,2,0,1
Train Station Bike and Bean,Restaurant with onsite dining,yes,yes,4,1,1
Tran Nails,Personal care service,no,yes,7,0,1
Tranquil Moments Massage & Body Treatments,Self-regulated health professional,yes,yes,6,1,1
Tranquility Spa,Personal care service,yes,yes,7,1,1
Treasured Tress Mobile Wig Service,Personal care service,no,yes,7,0,1
Treats Caf̩,Restaurant with onsite dining,yes,no,4,1,0
Trellis Cafe,Restaurant with onsite dining,yes,no,4,1,0
Trendy Eyewear,Self-regulated health professional,yes,yes,6,1,1
Tress In Home Hair Services,Personal care service,yes,yes,7,1,1
Triangle Events,"Live, performing arts for audience",yes,yes,3,1,1
Tri-County Blood Collection Services,Self-regulated health professional,no,yes,6,0,1
Trident Booksellers & Caf̩,Restaurant with onsite dining,yes,yes,4,1,1
Trider's Craft Beer,Drinking establishment,yes,yes,1,1,1
Trina's Nails & Waxing Services,Personal care service,yes,yes,7,1,1
Trinity Fine Jewellers,Small retail,no,yes,2,0,1
Tripp's Gallery,Small retail,no,yes,2,0,1
Troy Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Tru Salon,Personal care service,yes,yes,7,1,1
Truckside Food Court,Restaurant with onsite dining,yes,yes,4,1,1
True Heart Massage Therapy,Self-regulated health professional,no,yes,6,0,1
True Indulgence,Personal care service,yes,yes,7,1,1
True Nature Yoga,Fitness establishment,yes,yes,0,1,1
True North DJ Services,"Live, performing arts for audience",yes,yes,3,1,1
Trui Kabel Electrolysis,Personal care service,yes,yes,7,1,1
Trullo Ristorante Italia,Restaurant with onsite dining,yes,no,4,1,0
Truly Tasty,Restaurant with onsite dining,yes,yes,4,1,1
Truro Allstar Cheer & Tumble,Fitness establishment,yes,no,0,1,0
Truro Chiropractic Clinic Inc.,Self-regulated health professional,yes,yes,6,1,1
Truro Curling Club,Fitness establishment,no,yes,0,0,1
Truro Denture Clinic,Self-regulated health professional,no,yes,6,0,1
Truro Horsemen's Club,Restaurant with onsite dining,no,yes,4,0,1
Truro Music Festival Society,Charity,yes,yes,7,1,1
Truro Raceway,Restaurant with onsite dining,yes,yes,4,1,1
TS Performance Horses,Fitness establishment,yes,yes,0,1,1
Turkish Delight Restaurant,Restaurant with onsite dining,yes,no,4,1,0
Turkuaz Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Turning Point Curling,Fitness establishment,yes,yes,0,1,1
Tusket Brewing Co.,Drinking establishment,yes,yes,1,1,1
Tusu Karaoke,Drinking establishment,yes,yes,1,1,1
Twin Dragon Martial Arts Club,Fitness establishment,yes,yes,0,1,1
Twisted Metal,Small retail,no,yes,2,0,1
Twisted Willow Flowers & Gifts,Small retail,no,yes,2,0,1
Two Doors Down,Restaurant with onsite dining,yes,yes,4,1,1
Two If By Sea Caf̩,Restaurant with onsite dining,yes,yes,4,1,1
Two Islands Brewing,Drinking establishment,no,yes,1,0,1
U Spa,Personal care service,yes,yes,7,1,1
Ucbaby,Self-regulated health professional,yes,yes,6,1,1
Ugly Mug Cafe & Emporium,Restaurant with onsite dining,yes,yes,4,1,1
Ummah Masjid and Community Centre,Charity,yes,no,7,1,0
Unapologetic Ink,Personal care service,yes,yes,7,1,1
Unchained Kitchen,Restaurant with onsite dining,yes,yes,4,1,1
Uncle Leo's Brewery,Drinking establishment,yes,yes,1,1,1
Uncommon Grounds - A Coffee House,Restaurant with onsite dining,yes,yes,4,1,1
United Dental Laboratory,Self-regulated health professional,no,yes,6,0,1
University Physiotherapy,Self-regulated health professional,yes,yes,6,1,1
Unlimited Gifts and Things,Small retail,no,yes,2,0,1
Up til Dawn Party Supplies,Small retail,no,yes,2,0,1
Upper Cutz Barber Shop,Personal care service,no,yes,7,0,1
Upstream Music Association,Charity,yes,yes,7,1,1
Upstreet BBQ Brewhouse,Restaurant with onsite dining,yes,yes,4,1,1
Uptown Salon and Spa,Personal care service,yes,yes,7,1,1
Usta Turkish & Mediterranean Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Utility Tattoo,Personal care service,yes,yes,7,1,1
Vacation Nails & Spa,Personal care service,no,yes,7,0,1
Valerie's Hair Studio,Personal care service,yes,yes,7,1,1
Valley Chiropractic Services,Self-regulated health professional,yes,yes,6,1,1
Valley Family Optometry,Self-regulated health professional,yes,yes,6,1,1
Valley Medical Aesthetics,Self-regulated health professional,yes,yes,6,1,1
Valley Naturopathic Clinic,Self-regulated health professional,yes,yes,6,1,1
Valley Wing,Drinking establishment,no,yes,1,0,1
Valli's Health & Beauty Boutique,Personal care service,yes,yes,7,1,1
Vandal Doughnuts,Restaurant with onsite dining,yes,yes,4,1,1
Vanessa's Creative Cuts,Personal care service,yes,yes,7,1,1
Vegto,Restaurant with onsite dining,yes,no,4,1,0
Veith House,Charity,yes,yes,7,1,1
Verano Food Purveyors,Restaurant with onsite dining,yes,yes,4,1,1
Verdant Counselling,Self-regulated health professional,yes,yes,6,1,1
Veritas Catholic Books and Gifts,Small retail,no,yes,2,0,1
Vernon's Thunderbird Diner,Restaurant with onsite dining,yes,yes,4,1,1
Vero Pizzeria,Restaurant with onsite dining,yes,yes,4,1,1
Verve Events and DJ Service,"Live, performing arts for audience",yes,yes,3,1,1
Vibe Medi Spa,Personal care service,yes,yes,7,1,1
ViBeat Dance Studio,"Live, performing arts for audience",no,yes,3,0,1
Vicki's Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Vicky Mina Makeup,Personal care service,yes,no,7,1,0
Victoria Court Hair Salon,Personal care service,yes,no,7,1,0
Victory Taekwondo,Fitness establishment,yes,yes,0,1,1
Village Wellness at Appaloosa,Self-regulated health professional,yes,yes,6,1,1
Vines Pasta Grill,Restaurant with onsite dining,yes,yes,4,1,1
Vintage Jewellers Limited,Small retail,no,yes,2,0,1
Vintners Cellar Bedford,Drinking establishment,yes,yes,1,1,1
Virtue Hair Studio,Personal care service,yes,no,7,1,0
Visible Changes Hair Design,Personal care service,yes,yes,7,1,1
Vision Sense Optometry,Self-regulated health professional,yes,yes,6,1,1
Visions of Venus,Personal care service,yes,yes,7,1,1
Vitality Medi Spa,Personal care service,yes,no,7,1,0
Vittles Caf̩,Restaurant with onsite dining,no,yes,4,0,1
Vivid Hair And Body,Personal care service,yes,yes,7,1,1
Vogue Mens Wear and Tailoring,Small retail,no,yes,2,0,1
Vox Management Agency,"Live, performing arts for audience",yes,yes,3,1,1
VP Fitness,Fitness establishment,yes,yes,0,1,1
Vukatana Psychological Services,Self-regulated health professional,yes,yes,6,1,1
Waffle Love,Restaurant with onsite dining,yes,yes,4,1,1
Wandlyn Convention Hotel,Restaurant with onsite dining,yes,yes,4,1,1
Warren's Chiropractic Cafe of Life,Self-regulated health professional,yes,yes,6,1,1
Wasabi Asian Cuisine,Restaurant with onsite dining,yes,no,4,1,0
Wasabi House Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Wasko AV,"Live, performing arts for audience",yes,yes,3,1,1
Water & Bone,Restaurant with onsite dining,yes,no,4,1,0
Waterfront Pizza & Wraps,Restaurant with onsite dining,no,yes,4,0,1
Wavelength Psychotherapy,Self-regulated health professional,yes,yes,6,1,1
Waverley Hair Studio,Personal care service,yes,yes,7,1,1
Waverley Road Health Care Centre,Self-regulated health professional,yes,yes,6,1,1
Waves Seafood & Grill,Restaurant with onsite dining,yes,yes,4,1,1
Waxon Laser+Waxbar,Personal care service,yes,yes,7,1,1
Way 2 Roll Cafe,Restaurant with onsite dining,yes,yes,4,1,1
Wayfarers Ale Society,Restaurant with onsite dining,yes,yes,4,1,1
Waypoint Acupuncture and Chinese Therapy,Self-regulated health professional,yes,yes,6,1,1
Weasy's Hair Salon,Personal care service,yes,yes,7,1,1
Webster Street Hearing Boutique,Self-regulated health professional,yes,yes,6,1,1
Weird Harbour Espresso Bar,Restaurant with onsite dining,yes,yes,4,1,1
Welch Chiropractic,Self-regulated health professional,yes,yes,6,1,1
Well Within Chiropractic,Self-regulated health professional,yes,yes,6,1,1
Wendy's Hair Studio,Personal care service,no,yes,7,0,1
Wesley Heritage Community Seniors Association,Personal care service,no,yes,7,0,1
West Halifax Cheer,Fitness establishment,no,yes,0,0,1
West Side Charlies,Drinking establishment,yes,yes,1,1,1
Westcliffe Grocery & Lunch,Restaurant with onsite dining,yes,yes,4,1,1
Whales n' Sails Giftshop,Small retail,no,yes,2,0,1
Whatever Gifts,Small retail,no,yes,2,0,1
Whirligigs Cafe,Restaurant with onsite dining,yes,no,4,1,0
Whistler's Pub and Grub,Restaurant with onsite dining,yes,yes,4,1,1
White Point Beach Resort,Restaurant with onsite dining,no,yes,4,0,1
White's TaeKwonDo,Fitness establishment,yes,yes,0,1,1
Whitney's Shear Design,Personal care service,yes,yes,7,1,1
Wholly Crepe,Restaurant with onsite dining,yes,yes,4,1,1
Wild Caraway Cafe and Restaurant,Restaurant with onsite dining,no,yes,4,0,1
Wild Elements,Small retail,no,yes,2,0,1
Wild Leek Food & Juice Bar,Restaurant with onsite dining,yes,yes,4,1,1
Wildfire Pottery,Small retail,no,yes,2,0,1
William J Wallace,Small retail,no,yes,2,0,1
Willow Esthetics Boutique,Personal care service,yes,yes,7,1,1
Willy's Fresh cut Fries and Burgers,Restaurant with onsite dining,yes,yes,4,1,1
Wilson's Bowling Centre,Fitness establishment,yes,yes,0,1,1
Winding River Taekwon-Do,Fitness establishment,yes,no,0,1,0
Windsor Chiropractic Health Centre,Self-regulated health professional,yes,yes,6,1,1
Windsor Physiotherapy,Self-regulated health professional,yes,yes,6,1,1
Windsor Vision Centre,Self-regulated health professional,yes,yes,6,1,1
Windsor Vision Centre,Self-regulated health professional,yes,yes,6,1,1
Winegrunt,Drinking establishment,yes,yes,1,1,1
Winemakers Tavern,Restaurant with onsite dining,yes,yes,4,1,1
Winery Association of Nova Scotia,Drinking establishment,no,yes,1,0,1
Wink Eye Glamour,Personal care service,yes,yes,7,1,1
Wiseman Physiotherapy,Self-regulated health professional,yes,yes,6,1,1
Wiser Choices,Small retail,no,yes,2,0,1
Wok By the Bay,Restaurant with onsite dining,yes,yes,4,1,1
Wolfville Chiropractic Centre,Self-regulated health professional,yes,yes,6,1,1
Wolfville Hearing Clinic,Self-regulated health professional,no,yes,6,0,1
Wong's Palace,Restaurant with onsite dining,yes,yes,4,1,1
Woods Wise Outfitters,Small retail,no,yes,2,0,1
Woodside Tavern,Restaurant with onsite dining,yes,yes,4,1,1
Workplace Hearing Assessments and Training,Self-regulated health professional,yes,yes,6,1,1
World Gym,Fitness establishment,yes,yes,0,1,1
Wounds-to-Wings Counselling,Personal care service,yes,yes,7,1,1
Wranglers Bar & Grill,Drinking establishment,yes,yes,1,1,1
Wung Express,Restaurant with onsite dining,yes,no,4,1,0
Wyse Road Shoe Rebuilders,Small retail,no,yes,2,0,1
Xcel Physiotherapy,Self-regulated health professional,yes,yes,6,1,1
Xiaoyu Homestyle Noodle,Restaurant with onsite dining,yes,yes,4,1,1
Xidos,Personal care service,yes,yes,7,1,1
Xtreme Pizza,Restaurant with onsite dining,no,yes,4,0,1
Yankeetown Mercantile,Personal care service,yes,yes,7,1,1
Yarmouth Arts Regional Council,"Live, performing arts for audience",yes,yes,3,1,1
Yarmouth Dance Academy,"Live, performing arts for audience",yes,yes,3,1,1
Yarmouth Hospital Foundation,Charity,yes,yes,7,1,1
Yarmouth Mariners,Drinking establishment,yes,yes,1,1,1
Yarmouth Wool Shoppe,Small retail,no,yes,2,0,1
Ye Olde Argyler Lodge,Restaurant with onsite dining,yes,yes,4,1,1
Yeah Yeahs Pizza,Restaurant with onsite dining,yes,yes,4,1,1
Yellow Cello Pizza,Restaurant with onsite dining,no,yes,4,0,1
Yellow Dog Studio,Fitness establishment,yes,yes,0,1,1
YKN Sunglasses & Eyeglasses,Self-regulated health professional,yes,yes,6,1,1
YMCA,Charity,yes,yes,7,1,1
YMCA Association,Charity,yes,yes,7,1,1
Yoka Japanese & Thai,Restaurant with onsite dining,yes,yes,4,1,1
Yoko's Salon & Spa,Personal care service,yes,yes,7,1,1
YOLOve Beauty,Personal care service,yes,yes,7,1,1
Young Kempt Physiotherapy,Self-regulated health professional,yes,yes,6,1,1
Your Fathers Moustache,Restaurant with onsite dining,no,yes,4,0,1
Y-Town Chuck Wagon,Restaurant with onsite dining,yes,yes,4,1,1
Yu Yo Craft Supply and Tea House,Restaurant with onsite dining,yes,yes,4,1,1
Yuan of Asia Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Yum Chefood,Restaurant with onsite dining,yes,yes,4,1,1
Yummy K Caf̩,Restaurant with onsite dining,yes,yes,4,1,1
Zanzibar Hair Studio,Personal care service,yes,yes,7,1,1
Zedex Theatre,"Live, performing arts for audience",no,yes,3,0,1
Zen Chinese Cuisine,Restaurant with onsite dining,yes,yes,4,1,1
Zenith Physio Pilates,Self-regulated health professional,yes,yes,6,1,1
